,model,family,size,tokens,flops,arc,hellaswag,mmlu,truthfulqa,winogrande,gsm8k
1518,pantheon-rp-1.0-8b-llama-3,pantheon-rp-1.0-llama-3,8.0,15.0,720.0,0.5989761092150171,0.8388767177853018,0.6643599356524145,0.5382707080772854,0.770323599052881,0.5072024260803639
1583,zephyr-7b-gemma-v0.1,zephyr-gemma-v0.1,7.0,6.0,252.0,0.5844709897610921,0.8347938657637921,0.6068267869222415,0.5207310735270693,0.7419100236779795,0.45564821834723274
2448,llama-3-8b-instruct-v0.8,llama-3-instruct-v0.8,8.0,15.0,720.0,0.7167235494880546,0.8777136028679547,0.682991169221307,0.6389986056898658,0.7908445146014206,0.6846095526914329
2449,llama-3-8b-instruct-v0.9,llama-3-instruct-v0.9,8.0,15.0,720.0,0.7235494880546075,0.881696873132842,0.6810423906062162,0.6467478223824551,0.7995264404104183,0.6648976497346475
2672,luminia-13b-v3,luminia-v3,13.0,2.0,156.0,0.5247440273037542,0.7608046205935072,0.536020812263416,0.4373610781301898,0.7261247040252566,0.04245640636846096
2782,hermes-2-pro-llama-3-8b,hermes-2-pro-llama-3,8.0,15.0,720.0,0.6348122866894198,0.8322047400916152,0.6479850156958107,0.5656013468112259,0.7640094711917916,0.6793025018953753
2784,hermes-2-theta-llama-3-8b,hermes-2-theta-llama-3,8.0,15.0,720.0,0.6313993174061433,0.8256323441545509,0.6651191133673278,0.5574103812875774,0.7655880031570639,0.7073540561031083
4122,einstein-v6.1-llama3-8b,einstein-v6.1-llama3,8.0,15.0,720.0,0.6245733788395904,0.8241386178052181,0.6618688535137978,0.5510255717182386,0.7932123125493291,0.6611068991660347
4807,gemma-2b-orpo,gemma-orpo,2.0,6.0,72.0,0.49146757679180886,0.7372037442740491,0.38522806096222245,0.4453468253241183,0.6432517758484608,0.13874147081122062
5361,dolphin-2.9-llama3-8b,dolphin-2.9-llama3,8.0,15.0,720.0,0.5870307167235495,0.8055168293168691,0.6104002830421494,0.5566874852050564,0.7458563535911602,0.6444275966641395
6995,qwen-las-v0.1,qwen-las-v0.1,4.0,2.4,57.6,0.4641638225255973,0.6909978092013543,0.5328670202021167,0.4734814270829339,0.632991318074191,0.04700530705079606
7001,qwen1.5-7b-chat-sa-v0.1,qwen1.5-chat-sa-v0.1,7.0,4.0,168.0,0.5435153583617748,0.7679745070703047,0.6130907244018474,0.5016672680458616,0.697711128650355,0.19863532979529946
7073,suzume-llama-3-8b-multilingual,suzume-llama-3-multilingual,8.0,15.0,720.0,0.6075085324232082,0.7948615813582953,0.666158414148644,0.48701349926756854,0.7616416732438832,0.6156178923426838
7532,orpollama-3-8b,orpollama-3,8.0,15.0,720.0,0.591296928327645,0.8241386178052181,0.6576439370548328,0.5239701912128801,0.7829518547750592,0.45943896891584535
7944,openchat-3.6-8b-20240522,openchat-3.6-20240522,8.0,15.0,720.0,0.6245733788395904,0.8086038637721571,0.6655794977263308,0.48423292908023485,0.7876874506708761,0.7179681576952237
8752,llamantino-3-anita-8b-inst-dpo-ita,llamantino-3-anita-inst-dpo-ita,8.0,15.0,720.0,0.7457337883959044,0.927504481179048,0.668498558453034,0.7592807034986255,0.8200473559589583,0.5860500379075056
8989,configurable-hermes-2-pro-llama-3-8b,configurable-hermes-2-pro-llama-3,8.0,15.0,720.0,0.6382252559726962,0.8348934475204143,0.6522610479317345,0.6250621031182334,0.771112865035517,0.6846095526914329
